,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
59,60,Female,18,1970-02-04,,Manufacturing,Mass Customer,N,No,10,47
60,61,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13,58
61,62,Female,38,1979-07-06,,IT,Mass Customer,N,Yes,22,38
62,63,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,52
63,64,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4,39
64,65,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,41
65,66,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1,15
66,67,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18,57
67,68,Female,37,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,9,43
68,69,Female,16,1969-06-22,Web Developer II,,Mass Customer,N,No,6,48
69,70,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8,24
70,71,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12,32
71,72,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,45
72,73,Female,16,1960-05-27,Teacher,,Affluent Customer,N,Yes,5,57
73,74,Female,94,1969-06-19,,,Mass Customer,N,Yes,6,48
74,75,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19,39
75,76,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18,39
76,77,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,28
77,78,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,32
78,79,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18,49
79,80,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13,39
80,81,Female,58,1986-09-04,,Health,High Net Worth,N,No,13,31
81,82,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19,52
82,83,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18,50
83,84,Male,78,1958-02-07,Accountant III,,Mass Customer,N,Yes,14,59
84,85,Male,1,1958-05-21,Analyst Programmer,,Mass Customer,N,No,8,59
85,86,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7,28
86,87,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8,43
87,88,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7,51
88,89,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14,50
89,90,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,33
90,91,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,62
91,92,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12,37
92,93,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10,41
93,94,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21,43
94,95,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,57
95,96,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,49
96,97,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,38
97,98,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7,61
98,99,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3,19
99,100,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4,49
100,101,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,42
101,102,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,61
102,103,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,20
103,104,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9,39
104,105,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,16
105,106,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18,51
106,107,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,27
107,108,Female,4,1994-03-14,,,High Net Worth,N,No,3,23
108,109,Male,16,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4,39
109,110,Male,23,2000-07-31,,Financial Services,Affluent Customer,N,No,1,17
110,111,Female,65,1993-08-29,Analyst Programmer,,Mass Customer,N,No,2,24
111,112,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12,42
112,113,Male,67,1956-05-06,Staff Scientist,,Mass Customer,N,No,20,61
113,114,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8,32
114,115,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18,36
115,116,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,18
116,117,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15,35
117,118,Male,43,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,19,58
118,119,Male,9,1981-12-04,Associate Professor,,High Net Worth,N,Yes,9,36
119,120,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,39
120,121,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15,60
121,122,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,38
122,123,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15,29
123,124,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5,22
124,125,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16,57
125,126,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3,25
126,127,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19,43
127,128,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12,40
128,129,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,32
129,130,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,20
130,131,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8,53
131,132,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,54
132,133,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16,40
133,134,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,20
134,135,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3,42
135,136,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,44
136,137,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10,30
137,138,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13,32
138,139,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4,53
139,140,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,23
140,141,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10,63
141,142,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17,50
142,143,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11,60
144,145,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4,20
145,146,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,32
146,147,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,44
147,148,Female,69,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,5,36
148,149,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1,22
149,150,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17,34
150,151,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,52
151,152,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16,36
152,153,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,40
153,154,Female,90,1958-02-13,Junior Executive,,Mass Customer,N,No,11,59
154,155,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10,32
155,156,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,38
156,157,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16,43
157,158,Male,99,1984-09-03,Internal Auditor,,Affluent Customer,N,No,5,33
158,159,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13,30
159,160,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18,53
160,161,Male,49,1976-01-21,,,Mass Customer,N,No,16,41
161,162,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15,38
162,163,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14,41
163,164,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1,18
164,165,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,33
165,166,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,62
166,167,Female,95,1969-10-27,,Health,High Net Worth,N,Yes,17,48
168,169,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,60
169,170,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21,42
170,171,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10,47
171,172,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6,29
172,173,Female,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1,20
173,174,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12,28
174,175,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,42
175,176,Male,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10,25
176,177,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4,28
177,178,Male,2,1967-04-03,,,Affluent Customer,N,No,8,50
178,179,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,51
179,180,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14,46
180,181,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9,35
181,182,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,25
182,183,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3,20
183,184,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,46
184,185,Male,80,1979-12-13,,Property,Mass Customer,N,Yes,13,38
185,186,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,43
186,187,Male,97,1954-01-28,Structural Engineer,,Mass Customer,N,No,11,63
187,188,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13,42
188,189,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10,36
189,190,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10,38
190,191,Male,22,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,6,57
191,192,Female,2,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8,39
192,193,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,53
193,194,Female,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10,43
194,195,Female,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6,59
195,196,Male,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,51
196,197,Female,32,1977-01-27,,,High Net Worth,N,No,5,40
197,198,Female,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,36
198,199,Female,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21,39
199,200,Male,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,60
200,201,Male,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,51
201,202,Female,38,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16,54
202,203,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,53
203,204,Male,56,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5,41
204,205,Male,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,59
205,206,Female,98,1954-07-19,Statistician I,,Mass Customer,N,Yes,14,63
206,207,Female,9,1994-08-10,,,Mass Customer,N,No,7,23
207,208,Male,57,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5,23
208,209,Male,9,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,6,60
209,210,Male,50,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18,54
210,211,Female,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,43
211,212,Female,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1,16
212,213,Male,13,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6,21
213,214,Male,82,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6,60
214,215,Female,37,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18,43
215,216,Female,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,22
216,217,Female,63,1979-12-09,,Manufacturing,High Net Worth,N,No,16,38
217,218,Female,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8,24
218,219,Male,9,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7,53
219,220,Female,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,63
220,221,Female,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14,37
221,222,Male,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16,39
222,223,Male,13,1983-11-26,VP Sales,,Affluent Customer,N,Yes,14,34
223,224,Male,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,50
224,225,Female,84,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13,40
225,226,Male,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,40
226,227,Male,99,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18,44
227,228,Female,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,31
228,229,Male,30,1966-03-06,,Property,High Net Worth,N,No,19,51
229,230,Female,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11,63
230,231,Male,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3,22
231,232,Female,94,1987-11-11,Professor,Retail,Mass Customer,N,No,12,30
232,233,Male,34,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13,31
233,234,Female,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12,48
234,235,Female,30,1976-12-26,Social Worker,Health,Mass Customer,N,No,15,41
235,236,Male,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14,63
236,237,Male,18,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11,43
237,238,Male,54,1984-02-04,Programmer III,,Mass Customer,N,Yes,14,33
238,239,Male,62,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3,25
239,240,Male,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15,28
240,241,Male,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20,30
241,242,Male,17,1992-03-20,Nurse,Property,Affluent Customer,N,No,8,25
242,243,Female,94,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14,41
243,244,Male,57,1974-11-25,,Retail,Affluent Customer,N,No,8,43
244,245,Female,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1,16
245,246,Female,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9,26
246,247,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,34
247,248,Female,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12,39
248,249,Male,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9,25
249,250,Male,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13,29
250,251,Female,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10,40
251,252,Female,39,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13,34
252,253,Female,82,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,1,20
253,254,Female,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,14,56
254,255,Female,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5,63
255,256,Female,16,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,21,42
256,257,Female,70,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19,51
257,258,Female,24,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,9,25
258,259,Female,70,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,3,34
259,260,Female,47,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,22,38
260,261,Male,74,1977-10-15,Structural Engineer,,Mass Customer,N,No,8,40
261,262,Male,97,1977-12-23,,Health,High Net Worth,N,Yes,10,40
262,263,Female,89,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,7,32
263,264,Male,31,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11,40
264,265,Male,74,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,18,52
265,266,Female,69,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,18,28
267,268,Female,60,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,10,39
268,269,Male,55,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9,63
269,270,Female,38,1970-12-10,Budget/Accounting Analyst III,,Mass Customer,N,Yes,17,47
270,271,Female,51,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,4,26
271,272,Female,22,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,1,30
272,273,Male,54,1963-04-22,Computer Systems Analyst IV,,Mass Customer,N,No,19,54
273,274,Female,66,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,14,41
274,275,Male,7,1955-07-27,VP Sales,Health,High Net Worth,N,No,13,62
275,276,Female,47,1990-03-25,,Financial Services,Mass Customer,N,No,22,27
276,277,Female,69,1956-02-19,VP Product Management,,High Net Worth,N,No,15,61
277,278,Male,22,1997-07-30,Executive Secretary,,Affluent Customer,N,Yes,4,20
278,279,Female,0,1981-09-09,Web Designer I,Manufacturing,Mass Customer,N,No,11,36
279,280,Male,15,1995-03-22,Geologist I,,Affluent Customer,N,Yes,5,22
280,281,Female,51,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,8,45
281,282,Male,82,1989-10-27,VP Quality Control,Argiculture,High Net Worth,N,Yes,11,28
282,283,Female,34,1991-02-04,Assistant Manager,Retail,Mass Customer,N,No,2,26
283,284,Male,38,1986-04-11,Financial Analyst,Financial Services,High Net Worth,N,Yes,9,31
284,285,Female,3,1977-11-19,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12,40
285,286,Male,99,1989-08-01,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11,28
286,287,Female,41,1985-05-06,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4,32
287,288,Male,71,1985-09-08,,Manufacturing,High Net Worth,N,No,9,32
288,289,Female,43,1970-04-12,Clinical Specialist,Health,High Net Worth,N,No,10,47
290,291,Female,63,1971-10-22,Assistant Media Planner,Entertainment,Mass Customer,N,No,4,46
291,292,Female,42,1961-11-24,VP Product Management,,Affluent Customer,N,Yes,9,56
292,293,Male,80,1989-12-10,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20,28
293,294,Male,39,1959-04-01,Recruiting Manager,,High Net Worth,N,No,5,58
294,295,Female,64,1964-12-26,Database Administrator II,,Mass Customer,N,Yes,18,53
295,296,Male,34,1972-06-19,,Health,High Net Worth,N,Yes,17,45
296,297,Female,33,1959-04-27,Electrical Engineer,Manufacturing,High Net Worth,N,No,16,58
297,298,Male,69,1956-08-15,Engineer I,Manufacturing,High Net Worth,N,No,9,61
298,299,Female,80,1956-09-15,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7,61
299,300,Male,88,1956-06-22,Clinical Specialist,Health,Mass Customer,N,No,9,61
300,301,Female,54,1980-10-10,Developer IV,Manufacturing,High Net Worth,N,No,19,37
301,302,Female,32,1977-03-27,,Health,Mass Customer,N,No,13,40
302,303,Female,59,1974-08-15,Assistant Professor,Argiculture,Mass Customer,N,Yes,14,43
303,304,Male,36,1969-03-27,VP Marketing,Manufacturing,Mass Customer,N,Yes,15,48
304,305,Female,1,1974-03-17,Financial Analyst,Financial Services,Mass Customer,N,No,11,43
305,306,Male,19,1973-08-02,Registered Nurse,Health,High Net Worth,N,No,18,44
306,307,Male,55,1984-08-18,Clinical Specialist,Health,Affluent Customer,N,Yes,12,33
307,308,Male,2,1983-03-09,Database Administrator I,IT,High Net Worth,N,No,4,34
308,309,Female,53,1974-10-02,Clinical Specialist,Health,Mass Customer,N,Yes,21,43
309,310,Female,0,1985-02-13,Account Coordinator,Financial Services,Mass Customer,N,Yes,18,32
310,311,Female,86,1957-08-16,Internal Auditor,Health,High Net Worth,N,No,12,60
311,312,Male,44,1958-03-17,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,6,59
312,313,Male,70,1987-12-22,Operator,Manufacturing,Mass Customer,N,Yes,13,30
313,314,Female,27,1962-08-25,Marketing Assistant,Retail,High Net Worth,N,Yes,5,55
314,315,Female,67,1958-04-16,Chief Design Engineer,Manufacturing,Affluent Customer,N,No,12,59
315,316,Female,72,1976-06-01,Environmental Specialist,Manufacturing,Mass Customer,N,Yes,10,41
316,317,Female,26,1974-02-10,Automation Specialist II,Entertainment,Mass Customer,N,Yes,14,43
317,318,Female,21,1969-05-19,Programmer III,Retail,Affluent Customer,N,Yes,18,48
